<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"SessionStructure": [{
"task": "SequentialMemory",
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"test_instructions": [],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
},
{ "task": "EndSession", "min_delay": 2.0, 
  "message": "Come back for part 2 in 2 hours"},
{ "task": "SequentialMemory",
 "show_sequence_first": false,
 "training_instructions": ["Press any key to begin"],
 "test_instructions": ["Keep looking for imposters on the list",
 "Press any key to begin"],
"training_trials": 0
}
]
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2021-12-28 04:47:26.489272
</Empirical:time>
<Empirical:privatedata>WorkerId: A1RV2LERVS0A4H
IP address: 68.100.109.66
</Empirical:privatedata>
<Empirical:datalog>16.52	Memory retest, Stimuli: [{"s":6,"p":[{"c":"#424890","d":[49,23.1,49.5,30.8]},{"c":"#D247BD","d":[17.8,43.3,17.9,24.4]},{"c":"#47C6F3","d":[44.8,23.1,47.9,45.1]}]},{"s":6,"p":[{"c":"#BB3191","d":[25.7,39,44.2,55.5]},{"c":"#3120FC","d":[5.1,18.9,53.2,59.3]},{"c":"#E4759E","d":[54.2,27.9,36.9,17.6]}]},{"s":6,"p":[{"c":"#A6378D","d":[57.2,49.2,27.9,10.7]},{"c":"#693E60","d":[54.7,10.5,28.4,48]},{"c":"#1035A7","d":[37.6,59.7,22.1,11.2]}]},{"s":6,"p":[{"c":"#2BB99C","d":[0.6,48.1,28.9,50.8]},{"c":"#F3082B","d":[41.6,16.1,52.6,37.5]},{"c":"#65433F","d":[46,16.1,15.4,36.7]}]},{"s":6,"p":[{"c":"#F56D73","d":[44.7,43.1,0.6,26.8]},{"c":"#FAD300","d":[50.2,5.2,18,34.9]},{"c":"#2AF483","d":[54.2,19.2,57.2,11.1]}]},{"s":6,"p":[{"c":"#945F75","d":[38.5,53.5,12.6,50]},{"c":"#F2D1D2","d":[6.9,3.7,44.8,49.5]},{"c":"#3AA834","d":[41.5,36.2,35.6,9.8]}]},{"s":6,"p":[{"c":"#4EE060","d":[0.1,51.1,52.6,57]},{"c":"#8C4B8B","d":[18.2,18.7,51.9,22.5]},{"c":"#6D4EAF","d":[28.5,13.5,28.7,18.8]}]},{"s":6,"p":[{"c":"#788938","d":[39.3,43.3,44.4,33.7]},{"c":"#48C493","d":[35,37,28.4,38.6]},{"c":"#6666B7","d":[2.6,5.5,30.4,46.8]}]},{"s":6,"p":[{"c":"#012637","d":[39.7,26.2,17.3,41.9]},{"c":"#0FACD9","d":[27.6,59.1,32.3,15.5]},{"c":"#A9FDE5","d":[36.9,24.7,11.2,21.8]}]},{"s":6,"p":[{"c":"#BA583E","d":[42.4,57.5,32,15.5]},{"c":"#4054F1","d":[46.2,11.5,11.3,45.2]},{"c":"#09F0CA","d":[1.3,57.1,43.8,31.1]}]},{"s":6,"p":[{"c":"#7625B3","d":[23.6,24.3,55.6,13.7]},{"c":"#2FC31D","d":[1.7,16.1,17.7,5.9]},{"c":"#4FA3C0","d":[49.5,10,24.5,18.7]}]},{"s":6,"p":[{"c":"#EB806C","d":[13.6,36.3,49,54.6]},{"c":"#9ADF27","d":[49,29.2,38.9,6]},{"c":"#E10D00","d":[18.8,3.2,31.2,1.2]}]}]
16.52	Training order created, 50 imposter trials
16.52	Order 1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1
16.52	Test order created, 40 imposter trials, 20 in sequence trials
16.52	Order 0,0,1,0,3,0,3,2,3,0,3,2,1,2,0,1,1,2,3,2,2,2,0,1,0,1,1,0,1,0,2,0,2,0,1,2,3,3,1,3,2,3,1,1,0,2,1,3,0,1,1,0,3,3,1,3,2,0,3,3,2,0,2,3,0,2,1,1,1,2,3,2,0,1,0,2,3,2,3,3
50.75	Starting new block
50.75	Training order created, 0 imposter trials
50.75	Order 
50.75	Test order created, 40 imposter trials, 20 in sequence trials
50.75	Order 3,0,0,2,2,3,3,0,3,3,1,1,1,0,3,2,2,0,0,0,0,1,3,2,1,3,2,2,1,3,1,0,2,2,0,2,2,0,3,2,1,3,3,3,1,2,0,1,1,1,2,2,3,1,3,0,0,3,0,3,0,1,2,3,2,0,2,1,3,2,1,0,3,1,2,0,0,1,1,1
60.40	Imposter at position 1
68.39	Pressed 1
68.39	Trial 1 correct OrderType 3 Shuffled true Imposter 1 100 points awarded, 100 total
71.85	No imposter
79.47	Pressed 2
79.47	Trial 2 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 200 total
84.10	No imposter
91.40	Pressed 2
91.40	Trial 3 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 400 total
93.07	No imposter
100.54	Pressed 2
100.54	Trial 4 correct OrderType 2 Shuffled true Imposter -1 200 points awarded, 600 total
102.03	No imposter
109.74	Pressed 2
109.74	Trial 5 correct OrderType 2 Shuffled true Imposter -1 350 points awarded, 950 total
111.20	Imposter at position 8
118.58	Pressed 1
118.58	Trial 6 correct OrderType 3 Shuffled true Imposter 8 350 points awarded, 1300 total
120.05	Imposter at position 9
127.64	Pressed 1
127.64	Trial 7 correct OrderType 3 Shuffled true Imposter 9 400 points awarded, 1700 total
128.96	No imposter
136.19	Pressed 2
136.19	Trial 8 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 2100 total
137.42	Imposter at position 6
144.72	Pressed 1
144.72	Trial 9 correct OrderType 3 Shuffled true Imposter 6 500 points awarded, 2600 total
146.00	Imposter at position 2
153.28	Pressed 1
153.28	Trial 10 correct OrderType 3 Shuffled true Imposter 2 600 points awarded, 3200 total
154.60	Imposter at position 11
162.11	Pressed 1
162.11	Trial 11 correct OrderType 1 Shuffled false Imposter 11 600 points awarded, 3800 total
163.51	Imposter at position 10
170.77	Pressed 1
170.77	Trial 12 correct OrderType 1 Shuffled false Imposter 10 600 points awarded, 4400 total
172.01	Imposter at position 5
179.15	Pressed 1
179.15	Trial 13 correct OrderType 1 Shuffled false Imposter 5 600 points awarded, 5000 total
180.57	No imposter
188.10	Pressed 2
188.10	Trial 14 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 5600 total
189.40	Imposter at position 0
196.49	Pressed 1
196.49	Trial 15 correct OrderType 3 Shuffled true Imposter 0 600 points awarded, 6200 total
197.89	No imposter
205.58	Pressed 2
205.58	Trial 16 correct OrderType 2 Shuffled true Imposter -1 600 points awarded, 6800 total
207.00	No imposter
215.60	Pressed 1
215.60	Trial 17 incorrect OrderType 2 Shuffled true Imposter -1 0 points awarded, 6800 total
217.49	No imposter
224.49	Pressed 2
224.49	Trial 18 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 6900 total
225.53	No imposter
232.68	Pressed 2
232.68	Trial 19 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 7000 total
233.89	No imposter
241.34	Pressed 2
241.34	Trial 20 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 7200 total
252.28	No imposter
259.25	Pressed 2
259.25	Trial 21 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 7400 total
260.53	Imposter at position 4
267.56	Pressed 1
267.56	Trial 22 correct OrderType 1 Shuffled false Imposter 4 350 points awarded, 7750 total
268.83	Imposter at position 7
275.98	Pressed 1
275.98	Trial 23 correct OrderType 3 Shuffled true Imposter 7 350 points awarded, 8100 total
277.25	No imposter
284.84	Pressed 2
