<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"SessionStructure": [{
"task": "SequentialMemory",
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"test_instructions": [],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
},
{ "task": "EndSession", "min_delay": 2.0, 
  "message": "Come back for part 2 in 2 hours"},
{ "task": "SequentialMemory",
 "show_sequence_first": false,
 "training_instructions": ["Press any key to begin"],
 "test_instructions": ["Keep looking for imposters on the list",
 "Press any key to begin"],
"training_trials": 0
}
]
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2021-12-28 16:13:14.550591
</Empirical:time>
<Empirical:privatedata>WorkerId: A3FOKP72T5I4FR
IP address: 2600:6c5e:4200:e89:e5c3:7753:63c:fc0c
</Empirical:privatedata>
<Empirical:datalog>22.26	Stimulus strings 12 generated
22.26	{"s":6,"p":[{"c":"#0B9B6B","d":[59.6,46.7,1.9,49.3]},{"c":"#0748AE","d":[47.4,28.2,33.5,42.6]},{"c":"#8E3B77","d":[52.1,13.2,24.8,42.4]}]}
22.26	{"s":6,"p":[{"c":"#888394","d":[37.6,46.8,3.4,46.5]},{"c":"#2D6A11","d":[35,5,11.1,11.4]},{"c":"#A981F5","d":[2,39.7,40.1,27.3]}]}
22.26	{"s":6,"p":[{"c":"#C48BD2","d":[37.4,39.2,4.4,28.4]},{"c":"#5AA7BD","d":[31.6,43.1,36.9,54.7]},{"c":"#A0E7E6","d":[9.5,9.8,18.7,59.3]}]}
22.26	{"s":6,"p":[{"c":"#735A91","d":[38.8,28.1,28.3,49.6]},{"c":"#C87C7B","d":[56.5,35.1,57.7,16.3]},{"c":"#9C75B8","d":[42.7,52.4,23.6,45]}]}
22.26	{"s":6,"p":[{"c":"#E63FCC","d":[5.1,42.8,58.5,28.6]},{"c":"#6BBE6D","d":[57.8,40.1,24.5,0.8]},{"c":"#BB9AD8","d":[32.3,13.2,21.7,59.9]}]}
22.26	{"s":6,"p":[{"c":"#D9DB3E","d":[15.3,20.2,30,53]},{"c":"#0E5A69","d":[2,34.9,9.7,31.2]},{"c":"#A0D4BD","d":[46.2,2.6,26.1,45.9]}]}
22.26	{"s":6,"p":[{"c":"#BB706C","d":[36.7,0.1,40.6,13]},{"c":"#FAD996","d":[20.5,36.6,58.6,8.6]},{"c":"#42D2D6","d":[51.7,24.2,23.2,39.5]}]}
22.26	{"s":6,"p":[{"c":"#52D670","d":[36.7,30.1,0.3,39.5]},{"c":"#E1697A","d":[55.8,36.3,28.6,28.2]},{"c":"#02A61C","d":[19.5,35.8,6.6,27.2]}]}
22.26	{"s":6,"p":[{"c":"#3A24DB","d":[56.6,40.4,58.8,41.8]},{"c":"#E99843","d":[35.1,58.5,0,50.3]},{"c":"#65817B","d":[34.5,0.5,17.9,44.4]}]}
22.26	{"s":6,"p":[{"c":"#FABE25","d":[47.2,8.4,16,55.3]},{"c":"#0EAEFB","d":[39.9,18.4,48.3,21.4]},{"c":"#690CE4","d":[46.8,9.6,42.9,30.4]}]}
22.26	{"s":6,"p":[{"c":"#95590F","d":[10.5,19.6,18.6,36.9]},{"c":"#4A95BB","d":[33.2,8.9,41.8,42.2]},{"c":"#65560B","d":[60,38.1,33.2,4]}]}
22.26	{"s":6,"p":[{"c":"#0A364A","d":[20.9,11.7,8.4,20.7]},{"c":"#FD2DB0","d":[6.3,3.9,37.5,39.7]},{"c":"#BEB4F4","d":[52,12.9,13.7,35.1]}]}
22.26	Training order created, 50 imposter trials
22.26	Order 0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1
22.26	Test order created, 40 imposter trials, 20 in sequence trials
22.26	Order 1,0,1,3,1,2,0,0,1,2,0,2,2,3,3,2,1,1,1,1,1,3,2,2,2,1,1,2,0,0,3,2,0,2,1,3,0,3,0,3,0,3,3,3,0,2,1,0,0,2,1,0,1,1,1,2,1,1,0,0,2,2,0,3,2,3,0,3,1,0,2,3,3,3,2,3,3,3,0,2
57.46	No imposter
67.68	Pressed 1
67.68	Trial 1 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 0 total
70.77	No imposter
77.41	Pressed 2
77.41	Trial 2 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 100 total
78.82	No imposter
85.36	Pressed 2
85.36	Trial 3 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 200 total
86.17	No imposter
92.77	Pressed 2
92.77	Trial 4 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 400 total
94.23	Imposter at position 9
100.70	Pressed 2
100.70	Trial 5 incorrect OrderType 1 Shuffled false Imposter 9 0 points awarded, 400 total
101.63	Imposter at position 3
108.48	Pressed 2
108.48	Trial 6 incorrect OrderType 1 Shuffled false Imposter 3 0 points awarded, 400 total
109.21	Imposter at position 2
115.80	Pressed 1
115.80	Trial 7 correct OrderType 1 Shuffled false Imposter 2 100 points awarded, 500 total
116.44	Imposter at position 1
122.94	Pressed 1
122.94	Trial 8 correct OrderType 1 Shuffled false Imposter 1 100 points awarded, 600 total
123.52	No imposter
130.11	Pressed 2
130.11	Trial 9 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 800 total
130.72	Imposter at position 7
137.23	Pressed 1
137.23	Trial 10 correct OrderType 1 Shuffled false Imposter 7 200 points awarded, 1000 total
137.97	No imposter
144.52	Pressed 2
144.52	Trial 11 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 1350 total
145.24	No imposter
151.75	Pressed 2
151.75	Trial 12 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 1700 total
152.42	No imposter
159.06	Pressed 2
159.06	Trial 13 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 2100 total
159.84	No imposter
166.34	Pressed 2
166.34	Trial 14 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 2500 total
167.07	No imposter
173.72	Pressed 2
173.72	Trial 15 correct OrderType 0 Shuffled false Imposter -1 500 points awarded, 3000 total
174.81	Imposter at position 10
181.50	Pressed 2
181.50	Trial 16 incorrect OrderType 1 Shuffled false Imposter 10 0 points awarded, 3000 total
182.31	No imposter
188.81	Pressed 2
188.81	Trial 17 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 3100 total
189.44	Imposter at position 8
195.97	Pressed 2
195.97	Trial 18 incorrect OrderType 1 Shuffled false Imposter 8 0 points awarded, 3100 total
196.62	No imposter
203.14	Pressed 1
203.14	Trial 19 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 3100 total
203.71	No imposter
210.29	Pressed 2
210.29	Trial 20 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 3200 total
211.04	No imposter
217.57	Pressed 2
217.57	Trial 21 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 3300 total
218.07	Imposter at position 4
224.65	Pressed 2
224.65	Trial 22 incorrect OrderType 1 Shuffled false Imposter 4 0 points awarded, 3300 total
225.21	Imposter at position 0
231.68	Pressed 1
231.68	Trial 23 correct OrderType 1 Shuffled false Imposter 0 100 points awarded, 3400 total
232.10	No imposter
238.58	Pressed 2
238.58	Trial 24 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 3500 total
239.00	Imposter at position 6
245.75	Pressed 1
245.75	Trial 25 correct OrderType 1 Shuffled false Imposter 6 200 points awarded, 3700 total
246.35	Imposter at position 11
252.85	Pressed 2
