<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"SessionStructure": [{
"task": "SequentialMemory",
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"test_instructions": [],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
},
{ "task": "EndSession", "min_delay": 48.0, 
  "message": "Come back for part 2 in 48 hours"},
{ "task": "SequentialMemory",
 "show_sequence_first": false,
 "training_instructions": ["Press any key to begin"],
 "test_instructions": ["Keep looking for imposters on the list",
 "Press any key to begin"],
"training_trials": 0
}
]
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2022-01-29 09:23:27.234258
</Empirical:time>
<Empirical:privatedata>WorkerId: A2MWAXV1YRK5GH
IP address: 2601:80:8400:e6b0:705b:9f10:5c9b:5034
</Empirical:privatedata>
<Empirical:datalog>17.20	Memory retest, Stimuli: [{"s":6,"p":[{"c":"#7305EB","d":[55.8,5.7,34.8,58.5]},{"c":"#93083F","d":[25.3,19.6,48.8,47]},{"c":"#5BF6B0","d":[22.6,36.8,7,15.3]}]},{"s":6,"p":[{"c":"#E808A2","d":[52,11.8,20.6,47.9]},{"c":"#058916","d":[26.8,51.3,20.3,48.3]},{"c":"#533FFC","d":[53.8,58.9,53.8,13.2]}]},{"s":6,"p":[{"c":"#BE2066","d":[53.8,31.3,56.5,35.9]},{"c":"#ECA137","d":[25.2,56.7,39.5,32.7]},{"c":"#A7A175","d":[27.2,1.3,2.7,40.9]}]},{"s":6,"p":[{"c":"#77C300","d":[12.6,53.3,2.5,43.4]},{"c":"#FA477A","d":[33.9,10.2,38.2,28.6]},{"c":"#A21BB9","d":[42.3,53.8,48.7,39.3]}]},{"s":6,"p":[{"c":"#357A0A","d":[42.7,9.7,46,17.3]},{"c":"#897D51","d":[46.9,52.9,30.9,24.7]},{"c":"#2E8A2A","d":[54.5,36.2,29,6.6]}]},{"s":6,"p":[{"c":"#85AAE1","d":[52.5,42.1,22.4,42.4]},{"c":"#BC8005","d":[46.7,26.8,20.4,20.5]},{"c":"#D27A31","d":[52.3,46,48.8,51.9]}]},{"s":6,"p":[{"c":"#EFDF6F","d":[6.7,33.9,46.2,8.3]},{"c":"#AEE2F3","d":[13.2,13.5,1.7,31.5]},{"c":"#2B4B07","d":[51.7,3.9,46.3,21.2]}]},{"s":6,"p":[{"c":"#B56554","d":[10.5,54.5,12.5,54.7]},{"c":"#E81ACE","d":[30.4,22.7,32,26.7]},{"c":"#29527C","d":[54.8,46.2,57.8,21.2]}]},{"s":6,"p":[{"c":"#35069D","d":[40,19,9.3,49.2]},{"c":"#230DB2","d":[33.1,53.6,55.5,11.4]},{"c":"#32E0FE","d":[18.8,49.7,45.2,24.2]}]},{"s":6,"p":[{"c":"#B702E0","d":[9.1,4,56.9,49.6]},{"c":"#02CF35","d":[50.7,2.3,51.1,49]},{"c":"#8C5F44","d":[38,23.1,21.6,54.9]}]},{"s":6,"p":[{"c":"#4B0D0A","d":[56,45.8,54.2,2.3]},{"c":"#1AC573","d":[40.7,16.1,47.6,40.8]},{"c":"#4861D4","d":[19.9,55.3,29.5,10]}]},{"s":6,"p":[{"c":"#19C664","d":[3.4,32.7,20.2,19.5]},{"c":"#EA5E4C","d":[47,56.1,25.2,16.7]},{"c":"#A39D4B","d":[38.2,3.7,22,4.1]}]}]
17.20	Training order created, 50 imposter trials
17.20	Order 1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
17.20	Test order created, 40 imposter trials, 20 in sequence trials
17.20	Order 2,1,3,3,0,1,2,1,0,3,1,2,3,1,0,1,3,3,1,1,0,2,2,3,3,3,2,2,2,0,0,2,1,1,1,2,2,1,0,1,3,1,1,0,1,2,1,3,1,2,3,3,2,2,0,3,0,3,0,3,2,3,2,0,1,0,0,3,2,0,0,2,1,0,2,0,3,0,3,0
29.19	Starting new block
29.20	Training order created, 0 imposter trials
29.20	Order 
29.20	Test order created, 40 imposter trials, 20 in sequence trials
29.20	Order 1,3,1,1,2,1,3,0,2,0,3,2,1,1,1,1,1,3,0,1,1,3,1,1,1,3,0,0,2,0,3,0,3,0,3,0,3,3,2,0,1,3,1,0,2,0,0,0,1,2,3,2,2,1,0,3,0,2,1,0,0,2,3,0,3,2,0,3,2,3,2,3,2,2,2,2,2,1,2,3
62.45	Imposter at position 9
70.29	Pressed 2
70.29	Trial 1 incorrect OrderType 1 Shuffled false Imposter 9 0 points awarded, 0 total
72.86	Imposter at position 8
80.27	Pressed 1
80.27	Trial 2 correct OrderType 3 Shuffled true Imposter 8 100 points awarded, 100 total
90.06	Imposter at position 6
97.05	Pressed 2
97.05	Trial 3 incorrect OrderType 1 Shuffled false Imposter 6 0 points awarded, 100 total
98.75	Imposter at position 7
106.14	Pressed 2
106.14	Trial 4 incorrect OrderType 1 Shuffled false Imposter 7 0 points awarded, 100 total
107.72	No imposter
116.38	Pressed 2
116.38	Trial 5 correct OrderType 2 Shuffled true Imposter -1 100 points awarded, 200 total
117.75	Imposter at position 10
124.28	Pressed 1
124.28	Trial 6 correct OrderType 1 Shuffled false Imposter 10 100 points awarded, 300 total
125.07	Imposter at position 0
131.99	Pressed 2
131.99	Trial 7 incorrect OrderType 3 Shuffled true Imposter 0 0 points awarded, 300 total
132.89	No imposter
140.36	Pressed 2
140.36	Trial 8 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 400 total
141.08	No imposter
149.06	Pressed 2
149.06	Trial 9 correct OrderType 2 Shuffled true Imposter -1 100 points awarded, 500 total
150.01	No imposter
156.92	Pressed 2
156.92	Trial 10 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 700 total
157.97	Imposter at position 2
164.45	Pressed 1
164.45	Trial 11 correct OrderType 3 Shuffled true Imposter 2 200 points awarded, 900 total
165.16	No imposter
171.84	Pressed 1
171.84	Trial 12 incorrect OrderType 2 Shuffled true Imposter -1 0 points awarded, 900 total
172.93	Imposter at position 1
180.24	Pressed 2
180.24	Trial 13 incorrect OrderType 1 Shuffled false Imposter 1 0 points awarded, 900 total
181.33	Imposter at position 4
187.92	Pressed 2
187.92	Trial 14 incorrect OrderType 1 Shuffled false Imposter 4 0 points awarded, 900 total
188.98	Imposter at position 3
195.67	Pressed 1
195.67	Trial 15 correct OrderType 1 Shuffled false Imposter 3 100 points awarded, 1000 total
196.62	Imposter at position 11
203.58	Pressed 1
203.58	Trial 16 correct OrderType 1 Shuffled false Imposter 11 100 points awarded, 1100 total
204.19	Imposter at position 5
210.73	Pressed 1
210.73	Trial 17 correct OrderType 1 Shuffled false Imposter 5 200 points awarded, 1300 total
211.36	Imposter at position 6
217.81	Pressed 1
217.81	Trial 18 correct OrderType 3 Shuffled true Imposter 6 200 points awarded, 1500 total
218.70	No imposter
226.08	Pressed 2
226.08	Trial 19 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 1850 total
227.26	Imposter at position 9
233.76	Pressed 1
233.76	Trial 20 correct OrderType 1 Shuffled false Imposter 9 350 points awarded, 2200 total
234.90	Imposter at position 3
241.52	Pressed 1
241.52	Trial 21 correct OrderType 1 Shuffled false Imposter 3 400 points awarded, 2600 total
242.28	Imposter at position 5
248.90	Pressed 1
248.90	Trial 22 correct OrderType 3 Shuffled true Imposter 5 400 points awarded, 3000 total
249.97	Imposter at position 0
257.06	Pressed 1
257.06	Trial 23 correct OrderType 1 Shuffled false Imposter 0 500 points awarded, 3500 total
258.26	Imposter at position 10
264.83	Pressed 1
