<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"SessionStructure": [
{
"task": "SequentialMemory",
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 60 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"test_instructions": [],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 50,
"test_trials": 20,
"foil_mode": "hard",
"foil_similarity": 75
},
{ "task": "SequentialMemory",
 "show_sequence_first": false,
 "training_instructions": ["Press any key to begin"],
 "test_instructions": ["Keep looking for imposters on the list",
 "Press any key to begin"]
},
{ "task": "SequentialMemory",
 "show_sequence_first": false,
 "training_instructions": ["Press any key to begin"],
 "test_instructions": ["Keep looking for imposters on the list",
 "Press any key to begin"]
},
{ "task": "SequentialMemory",
 "show_sequence_first": false,
 "training_instructions": ["Press any key to begin"],
 "test_instructions": ["Keep looking for imposters on the list",
 "Press any key to begin"]
}
]
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2022-02-28 14:42:57.334232
</Empirical:time>
<Empirical:privatedata>WorkerId: A2FE6HDHREXIJ5
IP address: 74.64.38.26
</Empirical:privatedata>
<Empirical:datalog>23.54	Stimulus strings 12 generated
23.54	{"s":6,"p":[{"c":"#220758","d":[22.3,30.1,20.7,22.5]},{"c":"#F9B70A","d":[59.4,30.6,0.7,25.9]},{"c":"#1F927B","d":[36.9,29.7,26,8.6]}]}
23.54	{"s":6,"p":[{"c":"#EAB0F8","d":[6.3,53.8,27.6,35.9]},{"c":"#BA5248","d":[9.2,0,33.4,46.1]},{"c":"#B3D714","d":[41.5,32.5,19.9,16.7]}]}
23.54	{"s":6,"p":[{"c":"#1FF30C","d":[21.8,2,2.2,14.4]},{"c":"#2DD378","d":[16.4,42,54.4,56.5]},{"c":"#BC5979","d":[34.5,33.1,5.2,55.2]}]}
23.54	{"s":6,"p":[{"c":"#561472","d":[39.7,3.2,51.6,13.9]},{"c":"#5C6945","d":[18.2,35.4,5.4,42.4]},{"c":"#B1F828","d":[56,33.5,11.6,51.4]}]}
23.54	{"s":6,"p":[{"c":"#E36DFF","d":[20.7,52.5,43.2,54.5]},{"c":"#9C8EB9","d":[4.3,16.3,25.4,42.2]},{"c":"#8F1C6B","d":[21.4,59,6.6,43.9]}]}
23.54	{"s":6,"p":[{"c":"#05982F","d":[3.6,33.9,5.7,14.1]},{"c":"#C6216D","d":[44,46,37,8.5]},{"c":"#63FD2F","d":[0.4,59.4,28.4,39.1]}]}
23.54	{"s":6,"p":[{"c":"#59585C","d":[32.2,35.1,45.4,59.2]},{"c":"#2BD59E","d":[29.2,54.3,39.6,24.8]},{"c":"#F1DECE","d":[35.1,22.6,3.7,2.7]}]}
23.54	{"s":6,"p":[{"c":"#538DD2","d":[10.6,0,1.6,39.8]},{"c":"#14E89E","d":[41.4,24.4,16.1,21.8]},{"c":"#76C2E2","d":[17.9,36,16,54.1]}]}
23.54	{"s":6,"p":[{"c":"#9A5408","d":[12.3,55.6,57.2,55.9]},{"c":"#C79735","d":[17.4,37.9,20.7,51]},{"c":"#FB978E","d":[19.6,44.6,20.2,51]}]}
23.54	{"s":6,"p":[{"c":"#C17466","d":[17.8,8.6,40.2,49.9]},{"c":"#136CD4","d":[11.2,30.5,49.5,7.2]},{"c":"#58FF01","d":[18,44.2,33.4,48.4]}]}
23.54	{"s":6,"p":[{"c":"#B311B1","d":[23.4,12.9,40.6,32.7]},{"c":"#ED3B4E","d":[23.2,10.4,59.8,29.5]},{"c":"#D20DAA","d":[44.5,30.9,28,26.9]}]}
23.54	{"s":6,"p":[{"c":"#B3F852","d":[7.5,39,59.9,1.6]},{"c":"#D01BA5","d":[23.4,43.7,52.5,33.1]},{"c":"#706C03","d":[38.2,59.5,37.8,28.2]}]}
23.54	Training order created, 25 imposter trials
23.54	Order 0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1
23.54	Test order created, 10 imposter trials, 5 in sequence trials
23.54	Order 1,0,2,3,0,2,1,3,1,2,0,1,3,3,1,3,0,2,2,0
112.00	No imposter
120.98	Pressed 2
120.98	Trial 1 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 100 total
129.06	No imposter
136.44	Pressed 2
136.44	Trial 2 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 200 total
139.64	Imposter at position 10
147.89	Pressed 2
147.89	Trial 3 incorrect OrderType 1 Shuffled false Imposter 10 0 points awarded, 200 total
149.68	No imposter
