<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Click anywhere when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:"," Respond by clicking anywhere on the line between:"," Definitely No----Maybe No----Maybe Yes----Definitely Yes","","The order of the images may vary","","Click anywhere to begin"],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"response_type": "confidence",
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 45
</Empirical:appInfo>
<Empirical:time>2022-04-17 19:07:50.450113
</Empirical:time>
<Empirical:privatedata>WorkerId: A3QI1RV4HQ9MOC
IP address: 122.174.185.167
</Empirical:privatedata>
<Empirical:datalog>19.87	Stimulus strings 12 generated
19.87	{"s":6,"p":[{"c":"#96888D","d":[25.9,40,31.4,29.6]},{"c":"#7F847A","d":[20.7,8.2,0.8,43.9]},{"c":"#39D1A3","d":[59.3,14.8,38.6,1.9]}]}
19.87	{"s":6,"p":[{"c":"#E07AB1","d":[7.6,2.1,11.8,53.3]},{"c":"#1DF6FB","d":[18.8,22.1,21,43.3]},{"c":"#826F45","d":[20,21.7,23.3,25.7]}]}
19.87	{"s":6,"p":[{"c":"#86B134","d":[42,51.6,49.7,30.7]},{"c":"#1C2EA3","d":[51.8,10.2,59.5,7]},{"c":"#86FDFD","d":[5.8,26.6,17.3,43.5]}]}
19.87	{"s":6,"p":[{"c":"#7947A8","d":[20.5,10.5,45.5,55.6]},{"c":"#8F02AF","d":[35.4,12,43,26.7]},{"c":"#3C2006","d":[22.6,11.6,56.5,52.5]}]}
19.87	{"s":6,"p":[{"c":"#EA57B2","d":[18.3,21,38,0.6]},{"c":"#5A7801","d":[0.7,36.9,37.7,14.7]},{"c":"#226A23","d":[16.7,1,22.9,53]}]}
19.87	{"s":6,"p":[{"c":"#76045F","d":[37.4,15.3,41.6,49.2]},{"c":"#C678EA","d":[12.2,23.1,13.4,35.5]},{"c":"#17881E","d":[28.3,5.9,44.1,4.4]}]}
19.87	{"s":6,"p":[{"c":"#036507","d":[0.4,52.1,21.5,31.7]},{"c":"#2C3074","d":[44.4,32.2,52.3,47.1]},{"c":"#0F1945","d":[12,9.6,18.3,12.4]}]}
19.87	{"s":6,"p":[{"c":"#5B8062","d":[44.1,24.4,50.7,37.2]},{"c":"#6E6500","d":[9.5,45,48.3,40.8]},{"c":"#ECB783","d":[18.4,35.5,17.3,44.2]}]}
19.87	{"s":6,"p":[{"c":"#4E7121","d":[42.7,22.1,39.9,30.6]},{"c":"#40A72C","d":[2.2,46,21,25.1]},{"c":"#4F5755","d":[27.9,47.2,30.7,45.8]}]}
19.87	{"s":6,"p":[{"c":"#0AB87B","d":[43.6,39.8,30.2,11.6]},{"c":"#ACB3C0","d":[2.1,27.4,34.7,23.1]},{"c":"#DBC841","d":[17.7,27,56.7,47.9]}]}
19.87	{"s":6,"p":[{"c":"#7DB669","d":[15.5,24,55.6,19.5]},{"c":"#C5398A","d":[20.9,10,41.1,14.7]},{"c":"#E641CA","d":[1.5,56.2,14.2,29.6]}]}
19.87	{"s":6,"p":[{"c":"#EFDD2A","d":[31,8.4,21.5,50.9]},{"c":"#B8E57A","d":[9.8,39,31.5,13.2]},{"c":"#DA9545","d":[32.6,35.4,58.5,5.2]}]}
19.87	Training order created, 50 imposter trials
19.87	Order 0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0
19.87	Test order created, 40 imposter trials, 20 in sequence trials
19.87	Order 2,3,0,2,1,3,1,1,2,2,2,1,0,2,3,2,2,0,2,2,2,0,3,2,0,2,0,3,0,3,2,1,0,0,1,3,1,2,1,0,1,3,2,0,0,0,1,3,3,2,0,0,1,3,0,1,0,3,1,3,0,3,1,3,0,0,3,1,1,2,3,1,1,3,3,1,2,3,2,1
37.60	No imposter
44.84	Pressed 1
44.84	Trial 1 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 100 total
53.14	Imposter at position 4
60.16	Pressed 2
60.16	Trial 2 incorrect OrderType 1 Shuffled false Imposter 4 0 points awarded, 100 total
62.24	Imposter at position 10
68.76	Pressed 2
68.76	Trial 3 incorrect OrderType 1 Shuffled false Imposter 10 0 points awarded, 100 total
74.09	Imposter at position 7
80.73	Pressed 1
80.73	Trial 4 incorrect OrderType 1 Shuffled false Imposter 7 0 points awarded, 100 total
82.82	No imposter
89.34	Pressed 2
89.34	Trial 5 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 200 total
94.05	Imposter at position 0
101.48	Pressed 2
101.48	Trial 6 incorrect OrderType 1 Shuffled false Imposter 0 0 points awarded, 200 total
104.29	Imposter at position 2
110.90	Pressed 1
110.90	Trial 7 incorrect OrderType 1 Shuffled false Imposter 2 0 points awarded, 200 total
114.59	No imposter
121.14	Pressed 2
