<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Click anywhere when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:"," Respond by clicking anywhere on the line between:"," Definitely No----Maybe No----Maybe Yes----Definitely Yes","","The order of the images may vary","","Click anywhere to begin"],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"response_type": "confidence",
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 45
</Empirical:appInfo>
<Empirical:time>2022-04-18 14:21:16.155680
</Empirical:time>
<Empirical:privatedata>WorkerId: A1K8QNLYYYX21W
IP address: 2600:6c5e:4b7e:f720:450d:5413:d61b:f75b
</Empirical:privatedata>
<Empirical:datalog>52.34	Stimulus strings 12 generated
52.34	{"s":6,"p":[{"c":"#DBB95A","d":[15.3,28.4,26.7,34.6]},{"c":"#5A9A4C","d":[20.8,53.8,35.4,46.8]},{"c":"#3244DD","d":[18.2,35.8,2.5,59]}]}
52.34	{"s":6,"p":[{"c":"#293449","d":[52.6,10.7,36.8,47.3]},{"c":"#FC0B11","d":[59.6,0.4,49.8,27.6]},{"c":"#DB4D88","d":[18.5,45,36,27.1]}]}
52.34	{"s":6,"p":[{"c":"#820719","d":[45,23.9,18.4,25.3]},{"c":"#1EBE7E","d":[53.3,11.5,48.6,27]},{"c":"#572ED2","d":[52.2,32.8,18,52]}]}
52.34	{"s":6,"p":[{"c":"#DD4269","d":[7.6,50.4,51.4,19.2]},{"c":"#7A341C","d":[36.3,33.1,10,31.1]},{"c":"#D7DB4B","d":[7.3,26.7,5.8,16.7]}]}
52.34	{"s":6,"p":[{"c":"#7D3C59","d":[28,40.4,47.3,17.5]},{"c":"#DD63CC","d":[29.5,37.9,51.2,11.4]},{"c":"#AFAE35","d":[27.9,22.2,47.4,49.2]}]}
52.34	{"s":6,"p":[{"c":"#EBB980","d":[56,35.4,29.3,18]},{"c":"#0D4505","d":[30.5,17,21.8,37.4]},{"c":"#B0270C","d":[17.7,44.1,1.9,49.7]}]}
52.34	{"s":6,"p":[{"c":"#370B02","d":[26.7,55.2,15.5,49.8]},{"c":"#8B7508","d":[25.2,8.1,14.1,54.8]},{"c":"#07E5F6","d":[31,22.4,22.8,17.7]}]}
52.34	{"s":6,"p":[{"c":"#2525B5","d":[27.9,3.1,51.6,38.1]},{"c":"#686D0A","d":[16.4,16.8,54.1,18]},{"c":"#03411D","d":[53.4,42.5,43.4,43.7]}]}
52.35	{"s":6,"p":[{"c":"#B9CF2E","d":[23,14.3,53.5,56.7]},{"c":"#E7DE3B","d":[15.2,46.3,42.4,37.9]},{"c":"#4657A6","d":[45.2,4.3,36.1,59.9]}]}
52.35	{"s":6,"p":[{"c":"#F8B2EF","d":[12,57.6,24.4,28.5]},{"c":"#325094","d":[45.9,38.8,44,58.4]},{"c":"#3DD504","d":[42.8,38.4,21.6,29.6]}]}
