<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Click anywhere when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:"," Respond by clicking anywhere on the line between:"," Definitely No----Maybe No----Maybe Yes----Definitely Yes","","The order of the images may vary","","Click anywhere to begin"],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"response_type": "confidence",
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 45
</Empirical:appInfo>
<Empirical:time>2022-04-18 15:25:57.987091
</Empirical:time>
<Empirical:privatedata>WorkerId: A28A3HF3LSEIDT
IP address: 122.174.166.173
</Empirical:privatedata>
<Empirical:datalog>58.48	Stimulus strings 12 generated
58.48	{"s":6,"p":[{"c":"#9D4567","d":[25.9,31,49.6,22.3]},{"c":"#835012","d":[22.9,10.3,50.9,29.2]},{"c":"#084C17","d":[21.3,55.7,14.7,15.4]}]}
58.48	{"s":6,"p":[{"c":"#FF575E","d":[5.4,54.5,33.8,12.8]},{"c":"#59179D","d":[39.4,18.9,9.6,52]},{"c":"#62EFED","d":[6.3,57.9,50,59.6]}]}
58.48	{"s":6,"p":[{"c":"#A98B55","d":[21.9,4,41.5,59.2]},{"c":"#A99905","d":[36.5,21.7,36.9,20.8]},{"c":"#192C9E","d":[43.4,20.6,33,13.7]}]}
58.48	{"s":6,"p":[{"c":"#FAD541","d":[15,50.8,51.1,57.4]},{"c":"#8445F8","d":[43.9,38.6,49.8,44.7]},{"c":"#0CFBC0","d":[43.7,21.4,28.3,54]}]}
58.48	{"s":6,"p":[{"c":"#400C21","d":[6.8,23.3,59.5,56.1]},{"c":"#C6F8AB","d":[29,54.4,20,39.3]},{"c":"#ABD405","d":[11.2,56.7,16.6,49.6]}]}
58.48	{"s":6,"p":[{"c":"#DAAC32","d":[24.6,41.3,25.5,14.1]},{"c":"#C392CE","d":[41.7,59.2,21.3,36.2]},{"c":"#C6DA72","d":[50,45.5,55.3,10.2]}]}
58.48	{"s":6,"p":[{"c":"#100D45","d":[28.3,49.8,41.3,39.3]},{"c":"#68D237","d":[57.7,39.6,1.2,16.9]},{"c":"#60BEA3","d":[49,46.6,20.9,50.1]}]}
58.48	{"s":6,"p":[{"c":"#A0E9B1","d":[25.2,4.8,45.1,58.5]},{"c":"#0E37DB","d":[0.2,54.1,8.1,25.5]},{"c":"#3AEA1B","d":[37.6,54.7,7.4,23.3]}]}
58.48	{"s":6,"p":[{"c":"#07DDBC","d":[24.4,22.3,0.3,49.2]},{"c":"#4767BE","d":[30.7,5.5,39.2,4.6]},{"c":"#F6C2C4","d":[45.3,5.3,53.2,58.5]}]}
58.48	{"s":6,"p":[{"c":"#E0678D","d":[32.7,50.3,46.6,26.2]},{"c":"#6304A1","d":[50.9,38.2,57.6,9.4]},{"c":"#CA9459","d":[47.9,55.7,50.8,27.2]}]}
58.48	{"s":6,"p":[{"c":"#D8CE80","d":[36,47.8,53.1,32]},{"c":"#BD3787","d":[53.6,40.9,37.1,20.2]},{"c":"#84D673","d":[33.8,8.6,22.6,50.8]}]}
58.48	{"s":6,"p":[{"c":"#7F6C6C","d":[53.8,45.6,54.8,15.5]},{"c":"#CCBB9E","d":[28.4,19.6,12.3,1.9]},{"c":"#52518B","d":[45.8,17.4,22,6.1]}]}
58.48	Training order created, 50 imposter trials
58.48	Order 0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1
58.48	Test order created, 40 imposter trials, 20 in sequence trials
58.48	Order 2,1,1,3,1,3,0,2,3,0,3,1,0,0,3,3,2,2,3,3,0,3,1,3,0,1,1,1,0,2,1,1,1,3,0,2,3,1,1,2,1,2,2,0,2,3,0,2,1,3,1,3,1,2,3,3,0,2,0,2,0,0,2,2,0,2,0,1,2,3,0,0,0,2,3,1,1,2,3,0
82.01	No imposter
92.57	Clicked 3.27
92.57	Trial 1 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 0 total
96.46	No imposter
106.03	Clicked 3.20
106.03	Trial 2 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 0 total
109.52	Imposter at position 10
128.19	Clicked 4.00
128.19	Trial 3 correct OrderType 1 Shuffled false Imposter 10 100 points awarded, 100 total
133.19	Imposter at position 8
141.71	Clicked 4.00
141.71	Trial 4 correct OrderType 1 Shuffled false Imposter 8 100 points awarded, 200 total
147.28	No imposter
154.75	Clicked 4.00
154.75	Trial 5 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 200 total
158.24	Imposter at position 6
167.41	Clicked 4.00
167.41	Trial 6 correct OrderType 1 Shuffled false Imposter 6 100 points awarded, 300 total
173.24	Imposter at position 2
184.00	Clicked 1.36
184.00	Trial 7 incorrect OrderType 1 Shuffled false Imposter 2 0 points awarded, 300 total
186.51	Imposter at position 9
195.51	Clicked 4.00
195.51	Trial 8 correct OrderType 1 Shuffled false Imposter 9 100 points awarded, 400 total
203.97	No imposter
211.95	Clicked 4.00
211.95	Trial 9 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 400 total
217.99	Imposter at position 0
227.03	Clicked 2.71
227.03	Trial 10 correct OrderType 1 Shuffled false Imposter 0 100 points awarded, 500 total
229.31	No imposter
240.55	Clicked 0.02
240.55	Trial 11 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 600 total
243.70	Imposter at position 5
