<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"correct_points": 100,
"num_stim": 12,
"study_length": 150,
"study_isi": 50,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2022-04-08 17:15:30.245056
</Empirical:time>
<Empirical:privatedata>WorkerId: A1RV2LERVS0A4H
IP address: 68.100.109.66
</Empirical:privatedata>
<Empirical:datalog>149.75	Stimulus strings 12 generated
149.75	{"s":6,"p":[{"c":"#BD9D0C","d":[21.6,59.7,51.2,32.5]},{"c":"#09ED24","d":[28.4,38.6,42.6,28.2]},{"c":"#B906E6","d":[35.7,27.4,47.2,41.6]}]}
149.75	{"s":6,"p":[{"c":"#02AE9F","d":[52.3,45.2,36.5,39.5]},{"c":"#FC7D58","d":[30.4,36.3,12.4,45.7]},{"c":"#7A81BF","d":[56.4,24.9,35.7,48.7]}]}
149.75	{"s":6,"p":[{"c":"#C56CB4","d":[8.6,33.3,45.2,8.6]},{"c":"#7FCB4F","d":[35.4,37.2,54,48.3]},{"c":"#366D58","d":[12.5,55.6,9,14]}]}
149.75	{"s":6,"p":[{"c":"#344E00","d":[25.2,5.6,30.1,49.5]},{"c":"#0DF1FF","d":[49.8,20.4,16.5,13.6]},{"c":"#1E54DE","d":[46.9,2.5,46.8,38.4]}]}
149.75	{"s":6,"p":[{"c":"#CDFFFB","d":[49.5,21.9,2.9,36.8]},{"c":"#CAF35C","d":[35.4,12.4,42.9,36.3]},{"c":"#B35F0C","d":[58.9,46.6,51.4,50.7]}]}
149.75	{"s":6,"p":[{"c":"#47E6E9","d":[16.6,19.8,37.7,3]},{"c":"#0E4D3D","d":[26.7,23.5,33.9,7.9]},{"c":"#03CA08","d":[44.7,5,51.5,52]}]}
149.75	{"s":6,"p":[{"c":"#B118C1","d":[32.3,34.9,22.5,16.1]},{"c":"#D82240","d":[7.8,5.4,52.5,38.1]},{"c":"#D8FBF6","d":[3.2,14.8,52.2,37.2]}]}
149.75	{"s":6,"p":[{"c":"#215A77","d":[47,12.7,12.8,45.9]},{"c":"#3F4B1C","d":[30.8,36.8,2,27.3]},{"c":"#36101E","d":[30.7,56,32.1,22]}]}
149.75	{"s":6,"p":[{"c":"#DA3FAB","d":[56.9,59.6,9.4,5.9]},{"c":"#4A42FB","d":[14.7,39.3,43.1,55.3]},{"c":"#40A18C","d":[34.2,27.2,7.6,50.3]}]}
149.75	{"s":6,"p":[{"c":"#4E7232","d":[3.9,58.8,51.2,54.4]},{"c":"#B97567","d":[15.7,45.5,19.3,1.7]},{"c":"#220026","d":[4.2,2.1,59.9,51.3]}]}
149.75	{"s":6,"p":[{"c":"#EC2809","d":[18.8,32.7,3.5,6.9]},{"c":"#1865BD","d":[50.2,39.6,52.7,35.3]},{"c":"#568A53","d":[38.2,29.7,59.1,0.5]}]}
149.75	{"s":6,"p":[{"c":"#24B160","d":[35.3,2,25.7,39.6]},{"c":"#B477EC","d":[15.5,1.7,24.1,48.6]},{"c":"#0F90BB","d":[55.9,15.7,19.8,39.5]}]}
149.75	Training order created, 50 imposter trials
149.75	Order 1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0
149.75	Test order created, 40 imposter trials, 20 in sequence trials
149.75	Order 0,1,3,1,3,3,0,2,2,1,3,0,0,3,1,1,1,2,3,2,0,2,0,3,0,3,2,1,1,3,0,1,1,3,3,2,1,3,2,2,0,2,0,3,3,2,2,2,0,1,0,2,3,3,1,2,3,3,0,1,2,3,3,0,0,1,2,2,1,2,0,0,0,0,1,1,2,1,0,1
207.01	Imposter at position 7
212.44	Pressed 2
212.44	Trial 1 incorrect OrderType 1 Shuffled false Imposter 7 0 points awarded, 0 total
223.22	No imposter
227.74	Pressed 2
227.74	Trial 2 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 100 total
236.69	No imposter
240.58	Pressed 2
240.58	Trial 3 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 200 total
242.59	No imposter
246.76	Pressed 1
246.76	Trial 4 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 200 total
248.57	No imposter
252.48	Pressed 1
252.48	Trial 5 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 200 total
254.51	Imposter at position 8
258.15	Pressed 2
258.15	Trial 6 incorrect OrderType 1 Shuffled false Imposter 8 0 points awarded, 200 total
260.31	Imposter at position 0
265.28	Pressed 2
265.28	Trial 7 incorrect OrderType 1 Shuffled false Imposter 0 0 points awarded, 200 total
266.92	Imposter at position 2
272.56	Pressed 2
272.56	Trial 8 incorrect OrderType 1 Shuffled false Imposter 2 0 points awarded, 200 total
276.52	No imposter
280.45	Pressed 1
280.45	Trial 9 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 200 total
283.45	Imposter at position 3
287.33	Pressed 1
287.33	Trial 10 correct OrderType 1 Shuffled false Imposter 3 100 points awarded, 300 total
289.03	Imposter at position 10
293.09	Pressed 2
293.09	Trial 11 incorrect OrderType 1 Shuffled false Imposter 10 0 points awarded, 300 total
294.60	No imposter
298.75	Pressed 2
298.76	Trial 12 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 400 total
300.67	Imposter at position 11
304.68	Pressed 2
304.68	Trial 13 incorrect OrderType 1 Shuffled false Imposter 11 0 points awarded, 400 total
306.23	Imposter at position 6
310.05	Pressed 2
310.05	Trial 14 incorrect OrderType 1 Shuffled false Imposter 6 0 points awarded, 400 total
314.86	Imposter at position 9
318.80	Pressed 2
318.80	Trial 15 incorrect OrderType 1 Shuffled false Imposter 9 0 points awarded, 400 total
320.22	No imposter
324.52	Pressed 1
324.52	Trial 16 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 400 total
326.08	Imposter at position 5
331.03	Pressed 2
331.03	Trial 17 incorrect OrderType 1 Shuffled false Imposter 5 0 points awarded, 400 total
332.48	No imposter
336.42	Pressed 2
336.42	Trial 18 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 500 total
338.37	Imposter at position 1
342.15	Pressed 2
342.15	Trial 19 incorrect OrderType 1 Shuffled false Imposter 1 0 points awarded, 500 total
343.50	Imposter at position 4
347.60	Pressed 1
347.60	Trial 20 correct OrderType 1 Shuffled false Imposter 4 100 points awarded, 600 total
349.51	Imposter at position 0
354.48	Pressed 2
354.48	Trial 21 incorrect OrderType 1 Shuffled false Imposter 0 0 points awarded, 600 total
355.83	No imposter
359.62	Pressed 2
359.63	Trial 22 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 700 total
362.17	No imposter
366.05	Pressed 2
366.05	Trial 23 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 800 total
367.72	No imposter
371.57	Pressed 2
371.57	Trial 24 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 1000 total
375.83	No imposter
379.52	Pressed 2
379.52	Trial 25 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 1200 total
381.14	No imposter
384.88	Pressed 2
384.88	Trial 26 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 1550 total
386.57	No imposter
390.26	Pressed 1
390.26	Trial 27 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1550 total
391.80	Imposter at position 3
395.31	Pressed 1
395.31	Trial 28 correct OrderType 1 Shuffled false Imposter 3 100 points awarded, 1650 total
396.82	No imposter
400.34	Pressed 1
400.34	Trial 29 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1650 total
401.86	Imposter at position 10
405.37	Pressed 1
405.37	Trial 30 correct OrderType 1 Shuffled false Imposter 10 100 points awarded, 1750 total
406.81	Imposter at position 4
410.31	Pressed 1
410.31	Trial 31 correct OrderType 1 Shuffled false Imposter 4 100 points awarded, 1850 total
411.78	Imposter at position 5
415.49	Pressed 2
415.49	Trial 32 incorrect OrderType 1 Shuffled false Imposter 5 0 points awarded, 1850 total
417.41	Imposter at position 9
421.12	Pressed 1
421.12	Trial 33 correct OrderType 1 Shuffled false Imposter 9 100 points awarded, 1950 total
423.76	No imposter
427.42	Pressed 2
427.42	Trial 34 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 2050 total
429.11	Imposter at position 11
432.67	Pressed 1
432.67	Trial 35 correct OrderType 1 Shuffled false Imposter 11 200 points awarded, 2250 total
434.50	No imposter
438.04	Pressed 2
438.04	Trial 36 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 2450 total
439.95	No imposter
443.57	Pressed 2
443.57	Trial 37 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 2800 total
445.43	No imposter
449.01	Pressed 2
449.01	Trial 38 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 3150 total
450.67	Imposter at position 1
454.47	Pressed 2
454.47	Trial 39 incorrect OrderType 1 Shuffled false Imposter 1 0 points awarded, 3150 total
455.87	Imposter at position 6
459.29	Pressed 2
459.29	Trial 40 incorrect OrderType 1 Shuffled false Imposter 6 0 points awarded, 3150 total
460.62	No imposter
463.98	Pressed 1
463.98	Trial 41 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 3150 total
466.25	No imposter
469.63	Pressed 2
469.63	Trial 42 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 3250 total
472.08	No imposter
475.50	Pressed 2
475.50	Trial 43 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 3350 total
477.11	No imposter
480.53	Pressed 2
480.53	Trial 44 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 3550 total
481.95	Imposter at position 7
485.78	Pressed 2
485.78	Trial 45 incorrect OrderType 1 Shuffled false Imposter 7 0 points awarded, 3550 total
487.20	No imposter
490.58	Pressed 2
490.58	Trial 46 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 3650 total
491.81	Imposter at position 8
495.11	Pressed 1
495.11	Trial 47 correct OrderType 1 Shuffled false Imposter 8 100 points awarded, 3750 total
496.60	Imposter at position 2
499.84	Pressed 1
499.84	Trial 48 correct OrderType 1 Shuffled false Imposter 2 200 points awarded, 3950 total
