<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"correct_points": 100,
"num_stim": 12,
"study_length": 150,
"study_isi": 50,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2022-04-08 19:24:40.611542
</Empirical:time>
<Empirical:privatedata>WorkerId: AMX5R6NLYNA2K
IP address: 2603:8080:2a00:f1e8:ad69:8c35:9dc2:9c0e
</Empirical:privatedata>
<Empirical:datalog>36.37	Stimulus strings 12 generated
36.37	{"s":6,"p":[{"c":"#0F0D63","d":[27.2,2.5,34.9,54.3]},{"c":"#35FEE7","d":[44.4,10.7,40.9,33.7]},{"c":"#89CF66","d":[7.8,44.6,5.8,35.9]}]}
36.37	{"s":6,"p":[{"c":"#F2541F","d":[12.4,54,6.6,14.3]},{"c":"#8FC62F","d":[8.9,27.8,35.9,26.2]},{"c":"#60F615","d":[6.5,55.2,11.3,46.6]}]}
36.37	{"s":6,"p":[{"c":"#EC2501","d":[41.3,50.7,23.1,2.1]},{"c":"#046ED9","d":[35,43.6,13.1,29.5]},{"c":"#1FB8B6","d":[22.5,55.9,19.2,24.2]}]}
36.37	{"s":6,"p":[{"c":"#928C76","d":[3.3,33,28.6,16.6]},{"c":"#7F5257","d":[20.1,23.7,0.4,13]},{"c":"#A3272C","d":[40,11.3,59.1,11.8]}]}
36.37	{"s":6,"p":[{"c":"#4BA0FE","d":[51.6,59.4,16.1,26]},{"c":"#9DB11A","d":[29.1,44.8,26.9,31.3]},{"c":"#5264B8","d":[3,31.3,24.4,54.1]}]}
36.37	{"s":6,"p":[{"c":"#7F5C5F","d":[44.3,5,8.2,22.8]},{"c":"#6D3C38","d":[26.4,5.4,4.9,26.7]},{"c":"#58D9E4","d":[56.6,57.2,57.3,27.6]}]}
36.37	{"s":6,"p":[{"c":"#55E274","d":[48.6,27.2,3.7,4.6]},{"c":"#C0B107","d":[6.1,49.4,46.8,57.9]},{"c":"#148A9B","d":[4,45.7,16.4,36.7]}]}
36.37	{"s":6,"p":[{"c":"#1800AB","d":[57.8,48,36,37.3]},{"c":"#A4948F","d":[12.8,18.2,21.4,28.8]},{"c":"#7D6E14","d":[36.8,43.8,47.2,35.9]}]}
36.37	{"s":6,"p":[{"c":"#B0A0BF","d":[53.6,11.4,18.3,22.4]},{"c":"#A1C362","d":[2.2,4.8,6,42.2]},{"c":"#234803","d":[58.5,24.3,34.3,54.7]}]}
36.37	{"s":6,"p":[{"c":"#105134","d":[40.9,41,30.6,44.7]},{"c":"#2CD09F","d":[50.1,34,53.2,59.8]},{"c":"#FE6F45","d":[46.5,7.2,53.8,15.1]}]}
36.37	{"s":6,"p":[{"c":"#EF951F","d":[10.9,6.4,31.9,38.5]},{"c":"#343CF8","d":[32.4,51.5,24.5,1.1]},{"c":"#01E7CD","d":[54.4,44,13.5,3.3]}]}
36.37	{"s":6,"p":[{"c":"#21314E","d":[1.5,20.3,6.8,37.6]},{"c":"#100F9E","d":[40.8,20.8,22.1,2.1]},{"c":"#AF8081","d":[6.3,41.4,23.4,8.5]}]}
36.37	Training order created, 50 imposter trials
