<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"correct_points": 100,
"num_stim": 12,
"study_length": 150,
"study_isi": 50,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2022-04-08 19:26:29.994174
</Empirical:time>
<Empirical:privatedata>WorkerId: A1F1BIPJR11LSR
IP address: 2603:7000:da41:9e00:64fc:142f:2020:da23
</Empirical:privatedata>
<Empirical:datalog>13.31	Stimulus strings 12 generated
13.31	{"s":6,"p":[{"c":"#941AA8","d":[42.3,0.4,22.6,32]},{"c":"#C7DC97","d":[17.8,46.4,27.3,59.7]},{"c":"#F5A45A","d":[26.4,35.3,37.7,41.8]}]}
13.31	{"s":6,"p":[{"c":"#FC914C","d":[4.9,30.6,17.3,33.5]},{"c":"#370E0A","d":[17.6,26.2,47.1,30.5]},{"c":"#189A4D","d":[48.8,29.3,14.2,57.9]}]}
13.31	{"s":6,"p":[{"c":"#346226","d":[20.8,15.4,50.2,48.8]},{"c":"#DD767B","d":[2.3,23.1,35.1,18.8]},{"c":"#A96E4D","d":[3.4,14.1,37.8,24.8]}]}
13.31	{"s":6,"p":[{"c":"#F96159","d":[10.2,36.7,38.8,6.8]},{"c":"#82B548","d":[44.6,58.1,59.4,22.7]},{"c":"#4A4830","d":[55,18.2,55,53.5]}]}
13.31	{"s":6,"p":[{"c":"#B360F3","d":[49.9,34.1,49,48.5]},{"c":"#B01C7F","d":[33,11.3,17.6,31.1]},{"c":"#C480D0","d":[54.3,30.5,22.3,58.7]}]}
13.31	{"s":6,"p":[{"c":"#176DEA","d":[46.5,32.8,14.4,31.5]},{"c":"#AB561D","d":[44,5,9.1,30.6]},{"c":"#E295EF","d":[41.3,10.9,7.3,44.8]}]}
13.31	{"s":6,"p":[{"c":"#C5051C","d":[30.4,7.6,11.6,30.1]},{"c":"#9FBD91","d":[12.6,11.6,39.8,40.7]},{"c":"#4A67D1","d":[42.3,8.2,5,37.1]}]}
13.31	{"s":6,"p":[{"c":"#D8FA83","d":[1.3,40.8,3,3.2]},{"c":"#42D968","d":[52.1,9.2,43.1,32.6]},{"c":"#2DBACD","d":[58.6,54.1,50.1,24.6]}]}
13.31	{"s":6,"p":[{"c":"#FFACCA","d":[18.6,3.4,26.7,33.7]},{"c":"#FA659D","d":[54.9,32.3,3.5,33.3]},{"c":"#E7E4BC","d":[8.5,57.9,54.8,15.5]}]}
13.31	{"s":6,"p":[{"c":"#F7F4EF","d":[4.8,59.1,51.6,19.7]},{"c":"#54B9C7","d":[56.2,31.3,10.3,0.9]},{"c":"#9EEF39","d":[14,12.1,46.2,29.1]}]}
13.31	{"s":6,"p":[{"c":"#F66206","d":[3.8,7.5,29.3,38.2]},{"c":"#880C05","d":[34.1,49,16.2,51.7]},{"c":"#6A50D3","d":[28.7,29.7,7.8,5.6]}]}
13.31	{"s":6,"p":[{"c":"#965E82","d":[58.8,48.4,35.3,17.1]},{"c":"#9FC571","d":[3.6,47.6,4.7,14.5]},{"c":"#80C143","d":[56.5,28.9,36.2,19.9]}]}
13.31	Training order created, 50 imposter trials
13.31	Order 1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
13.31	Test order created, 40 imposter trials, 20 in sequence trials
13.31	Order 0,1,3,3,2,3,0,1,2,0,3,1,2,3,1,2,0,0,0,1,2,0,2,2,1,3,3,1,3,0,0,1,0,2,3,0,1,3,1,0,1,0,2,1,1,3,1,0,1,2,1,2,1,3,0,3,1,3,0,2,2,2,3,2,0,3,2,3,0,2,2,3,2,2,1,0,0,3,3,1
92.47	Imposter at position 4
95.63	Pressed 1
95.63	Trial 1 correct OrderType 1 Shuffled false Imposter 4 100 points awarded, 100 total
98.41	Imposter at position 7
101.24	Pressed 2
101.24	Trial 2 incorrect OrderType 1 Shuffled false Imposter 7 0 points awarded, 100 total
104.11	Imposter at position 9
106.98	Pressed 2
106.98	Trial 3 incorrect OrderType 1 Shuffled false Imposter 9 0 points awarded, 100 total
107.92	Imposter at position 2
110.83	Pressed 1
110.83	Trial 4 correct OrderType 1 Shuffled false Imposter 2 100 points awarded, 200 total
114.26	Imposter at position 0
117.81	Pressed 1
117.81	Trial 5 correct OrderType 1 Shuffled false Imposter 0 100 points awarded, 300 total
120.19	No imposter
122.92	Pressed 1
122.92	Trial 6 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 300 total
123.80	No imposter
126.57	Pressed 2
126.57	Trial 7 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 400 total
129.47	No imposter
132.50	Pressed 2
132.50	Trial 8 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 500 total
133.01	No imposter
135.77	Pressed 2
135.77	Trial 9 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 700 total
136.21	No imposter
138.99	Pressed 2
138.99	Trial 10 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 900 total
139.46	No imposter
142.19	Pressed 2
142.19	Trial 11 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 1250 total
142.68	Imposter at position 8
145.37	Pressed 2
