<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"correct_points": 100,
"num_stim": 12,
"study_length": 150,
"study_isi": 50,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2022-04-09 09:35:39.770309
</Empirical:time>
<Empirical:privatedata>WorkerId: A10NF5TK6IFNX6
IP address: 103.99.150.215
</Empirical:privatedata>
<Empirical:datalog>11.14	Stimulus strings 12 generated
11.14	{"s":6,"p":[{"c":"#D39B04","d":[28.2,25.9,18.5,12.1]},{"c":"#BEB5F4","d":[44.6,42.5,8.8,58.7]},{"c":"#BD01F7","d":[27.6,39.3,37.8,37.6]}]}
11.14	{"s":6,"p":[{"c":"#E10CF8","d":[4.5,18.1,57.5,35.3]},{"c":"#F5D1C5","d":[31.7,48.6,54.7,51.1]},{"c":"#44F5AC","d":[46,5.2,14.4,55]}]}
11.14	{"s":6,"p":[{"c":"#EA2E44","d":[41.2,1.4,24.3,17.2]},{"c":"#13B461","d":[46.9,26.5,59.1,52.2]},{"c":"#BED484","d":[57.8,49.1,51.3,4.4]}]}
11.14	{"s":6,"p":[{"c":"#3076A8","d":[36.6,58.8,38.4,53.4]},{"c":"#382833","d":[59,38.1,59.8,42.7]},{"c":"#EE1A33","d":[45.1,13.6,58.8,15.7]}]}
11.14	{"s":6,"p":[{"c":"#DCCD32","d":[31.4,48.2,32.3,57.8]},{"c":"#A7C41A","d":[34.2,36.8,45,29.4]},{"c":"#AF0635","d":[33.3,9.6,31.4,49.1]}]}
11.14	{"s":6,"p":[{"c":"#20FFEB","d":[24.5,9.1,9.5,18.2]},{"c":"#4D64ED","d":[9.2,16.1,9.7,2.4]},{"c":"#7A2396","d":[11.1,18.2,45.9,4.4]}]}
11.14	{"s":6,"p":[{"c":"#A091FA","d":[43.1,40.3,4,13.8]},{"c":"#AA7488","d":[42.8,39.5,33.7,52.2]},{"c":"#FEBAD1","d":[37.4,33.3,33.2,42.4]}]}
11.14	{"s":6,"p":[{"c":"#2B2865","d":[9.5,33.7,11.8,33.3]},{"c":"#C2C689","d":[48.9,9,25.9,59.4]},{"c":"#A1CF25","d":[38.2,20.1,35.6,29.3]}]}
11.14	{"s":6,"p":[{"c":"#580CD5","d":[26.3,43.3,13,13.6]},{"c":"#1D9157","d":[52.7,28.3,30.9,39.4]},{"c":"#53B4A5","d":[21.7,33.9,39.4,52.9]}]}
11.14	{"s":6,"p":[{"c":"#A57FE7","d":[5.6,35.1,41.5,28.1]},{"c":"#C10102","d":[42.8,19.1,34.6,28.5]},{"c":"#347CA7","d":[21.8,20,11.6,37.6]}]}
11.14	{"s":6,"p":[{"c":"#E05C9E","d":[43.6,24.5,2.6,21.5]},{"c":"#FA1614","d":[40.1,44,27,20.5]},{"c":"#D6C4A8","d":[40.8,22,26.2,18.8]}]}
11.14	{"s":6,"p":[{"c":"#F39A48","d":[22.4,28.4,38.6,28.4]},{"c":"#649A4F","d":[47.2,58.4,24.6,44.6]},{"c":"#620272","d":[40.2,52.8,38.8,7.9]}]}
11.14	Training order created, 50 imposter trials
11.14	Order 1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
11.14	Test order created, 40 imposter trials, 20 in sequence trials
11.14	Order 2,1,1,0,3,3,3,0,1,0,3,0,1,0,2,0,1,0,3,3,0,1,3,2,3,0,0,2,0,3,2,1,2,1,0,2,1,1,2,2,2,1,0,2,1,3,0,3,3,3,1,3,2,0,1,0,1,3,0,2,1,1,0,2,3,3,0,2,1,2,2,1,3,1,2,2,0,3,3,2
16.04	Imposter at position 7
26.30	Pressed 1
26.30	Trial 1 correct OrderType 1 Shuffled false Imposter 7 100 points awarded, 100 total
40.30	No imposter
43.46	Pressed 1
43.46	Trial 2 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 100 total
49.28	Imposter at position 8
52.31	Pressed 2
52.31	Trial 3 incorrect OrderType 1 Shuffled false Imposter 8 0 points awarded, 100 total
56.16	Imposter at position 6
59.08	Pressed 1
59.08	Trial 4 correct OrderType 1 Shuffled false Imposter 6 100 points awarded, 200 total
61.29	No imposter
64.95	Pressed 1
64.95	Trial 5 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 200 total
66.08	No imposter
69.03	Pressed 1
69.03	Trial 6 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 200 total
70.07	No imposter
73.06	Pressed 2
73.06	Trial 7 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 300 total
73.93	Imposter at position 5
76.83	Pressed 2
76.83	Trial 8 incorrect OrderType 1 Shuffled false Imposter 5 0 points awarded, 300 total
77.44	Imposter at position 1
80.32	Pressed 1
80.32	Trial 9 correct OrderType 1 Shuffled false Imposter 1 100 points awarded, 400 total
81.16	No imposter
84.13	Pressed 1
84.13	Trial 10 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 400 total
84.79	Imposter at position 4
87.73	Pressed 2
87.73	Trial 11 incorrect OrderType 1 Shuffled false Imposter 4 0 points awarded, 400 total
88.79	No imposter
91.65	Pressed 2
91.65	Trial 12 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 500 total
92.42	No imposter
95.41	Pressed 2
95.41	Trial 13 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 600 total
96.26	No imposter
99.13	Pressed 1
99.13	Trial 14 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 600 total
99.72	Imposter at position 0
102.59	Pressed 1
102.59	Trial 15 correct OrderType 1 Shuffled false Imposter 0 100 points awarded, 700 total
103.24	Imposter at position 3
106.23	Pressed 2
106.23	Trial 16 incorrect OrderType 1 Shuffled false Imposter 3 0 points awarded, 700 total
106.71	Imposter at position 9
109.56	Pressed 2
109.56	Trial 17 incorrect OrderType 1 Shuffled false Imposter 9 0 points awarded, 700 total
110.11	No imposter
112.94	Pressed 1
112.94	Trial 18 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 700 total
113.53	No imposter
116.41	Pressed 2
116.41	Trial 19 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 800 total
116.96	No imposter
119.86	Pressed 1
119.86	Trial 20 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 800 total
120.31	Imposter at position 2
123.13	Pressed 2
123.13	Trial 21 incorrect OrderType 1 Shuffled false Imposter 2 0 points awarded, 800 total
123.68	Imposter at position 10
126.60	Pressed 2
126.60	Trial 22 incorrect OrderType 1 Shuffled false Imposter 10 0 points awarded, 800 total
127.22	Imposter at position 11
