<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"correct_points": 100,
"num_stim": 12,
"study_length": 150,
"study_isi": 50,
"training_trials": 100,
"test_trials": 80,
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 44
</Empirical:appInfo>
<Empirical:time>2022-04-09 10:45:45.334913
</Empirical:time>
<Empirical:privatedata>WorkerId: A1IOMFFEKCWOIT
IP address: 110.225.234.103
</Empirical:privatedata>
<Empirical:datalog>28.06	Stimulus strings 12 generated
28.06	{"s":6,"p":[{"c":"#558C4F","d":[1.7,27.2,22.6,45.5]},{"c":"#D22651","d":[54.7,59.9,9.4,13.7]},{"c":"#9561D1","d":[51,56.6,29.2,26.8]}]}
28.06	{"s":6,"p":[{"c":"#931584","d":[7.8,11,45,42.3]},{"c":"#C2D413","d":[32.3,6.3,1.4,31.5]},{"c":"#30BEFB","d":[37.7,7.9,17.9,38]}]}
28.06	{"s":6,"p":[{"c":"#3A74E0","d":[4.9,9.8,31.7,19.7]},{"c":"#DE5F05","d":[11.9,25,35.4,6.2]},{"c":"#99EA8D","d":[44.7,23.7,6.3,44.3]}]}
28.06	{"s":6,"p":[{"c":"#3A30C2","d":[59.1,20.5,59.3,19.3]},{"c":"#C90630","d":[32.3,40.2,40.7,26.7]},{"c":"#75307A","d":[55.3,39.9,50.9,10.3]}]}
28.06	{"s":6,"p":[{"c":"#94285D","d":[48.8,42,28.3,43.3]},{"c":"#35B1C9","d":[33.5,5.9,3.8,1.2]},{"c":"#8552A8","d":[32.7,26.8,33.8,50.8]}]}
28.06	{"s":6,"p":[{"c":"#C0938F","d":[18.8,4.5,6.3,59.5]},{"c":"#6D32BE","d":[7.1,34.4,7.4,43.2]},{"c":"#C02149","d":[21.5,34.8,57.6,3.2]}]}
28.06	{"s":6,"p":[{"c":"#845E5F","d":[4.8,38,30.5,43.7]},{"c":"#1B90F5","d":[7.7,56.6,39.5,21]},{"c":"#68EC85","d":[45.5,35.9,3.9,16.8]}]}
28.06	{"s":6,"p":[{"c":"#52E433","d":[13.1,22.2,22.2,12.3]},{"c":"#0BB7D2","d":[32.7,32.1,24.4,29.2]},{"c":"#2A0018","d":[30.3,5.6,47.8,15.1]}]}
28.06	{"s":6,"p":[{"c":"#8111E5","d":[8.8,16.9,9.2,59.1]},{"c":"#D255FE","d":[27.6,56.3,26,25]},{"c":"#4FF24D","d":[53.3,5.4,5.2,30.5]}]}
28.06	{"s":6,"p":[{"c":"#31162C","d":[56.3,40.8,12,22.2]},{"c":"#E2CE33","d":[27.5,12.5,2.6,37.7]},{"c":"#F8D187","d":[37.5,38.7,4.2,27.3]}]}
28.06	{"s":6,"p":[{"c":"#616EAB","d":[50.9,51.8,26.7,28]},{"c":"#8CE648","d":[26.6,24,52.6,16]},{"c":"#A3C124","d":[2.2,45.4,9.3,59.8]}]}
28.06	{"s":6,"p":[{"c":"#A5A1FC","d":[21.1,36.5,41.4,28]},{"c":"#E7C2FE","d":[42.8,34,53.1,48.2]},{"c":"#8F2BF5","d":[29,0.8,2.7,15.2]}]}
28.06	Training order created, 50 imposter trials
28.06	Order 1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
28.06	Test order created, 40 imposter trials, 20 in sequence trials
28.06	Order 1,3,2,1,2,0,3,1,2,2,1,1,3,0,3,1,3,0,0,0,2,3,0,1,1,0,1,1,3,1,1,0,2,2,2,0,3,3,3,0,0,3,1,2,3,0,3,3,3,2,3,2,2,2,3,1,0,2,3,3,1,1,0,0,1,0,2,2,1,0,2,2,0,1,2,0,1,2,0,3
59.71	Imposter at position 6
62.93	Pressed 1
62.93	Trial 1 correct OrderType 1 Shuffled false Imposter 6 100 points awarded, 100 total
67.67	Imposter at position 10
70.74	Pressed 1
70.74	Trial 2 correct OrderType 1 Shuffled false Imposter 10 100 points awarded, 200 total
71.98	Imposter at position 9
75.16	Pressed 1
75.16	Trial 3 correct OrderType 1 Shuffled false Imposter 9 200 points awarded, 400 total
77.13	Imposter at position 4
80.18	Pressed 1
80.18	Trial 4 correct OrderType 1 Shuffled false Imposter 4 200 points awarded, 600 total
81.20	No imposter
84.41	Pressed 1
84.41	Trial 5 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 600 total
87.13	Imposter at position 0
90.51	Pressed 2
90.51	Trial 6 incorrect OrderType 1 Shuffled false Imposter 0 0 points awarded, 600 total
108.83	Imposter at position 5
111.94	Pressed 1
111.94	Trial 7 correct OrderType 1 Shuffled false Imposter 5 100 points awarded, 700 total
114.13	Imposter at position 8
117.27	Pressed 1
117.27	Trial 8 correct OrderType 1 Shuffled false Imposter 8 100 points awarded, 800 total
118.11	No imposter
121.09	Pressed 1
121.09	Trial 9 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 800 total
122.09	No imposter
125.23	Pressed 1
125.23	Trial 10 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 800 total
126.55	No imposter
129.76	Pressed 1
129.76	Trial 11 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 800 total
130.86	Imposter at position 1
137.71	Pressed 1
137.71	Trial 12 correct OrderType 1 Shuffled false Imposter 1 100 points awarded, 900 total
138.74	No imposter
141.89	Pressed 1
141.89	Trial 13 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 900 total
143.44	Imposter at position 7
146.33	Pressed 2
146.33	Trial 14 incorrect OrderType 1 Shuffled false Imposter 7 0 points awarded, 900 total
147.78	No imposter
150.78	Pressed 1
150.78	Trial 15 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 900 total
151.92	No imposter
154.88	Pressed 1
154.88	Trial 16 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 900 total
155.88	Imposter at position 11
159.02	Pressed 2
159.02	Trial 17 incorrect OrderType 1 Shuffled false Imposter 11 0 points awarded, 900 total
160.27	No imposter
163.43	Pressed 1
163.43	Trial 18 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 900 total
165.07	Imposter at position 3
168.05	Pressed 2
168.05	Trial 19 incorrect OrderType 1 Shuffled false Imposter 3 0 points awarded, 900 total
170.09	No imposter
173.54	Pressed 1
173.54	Trial 20 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 900 total
175.20	Imposter at position 2
178.36	Pressed 1
178.36	Trial 21 correct OrderType 1 Shuffled false Imposter 2 100 points awarded, 1000 total
181.39	No imposter
184.32	Pressed 1
184.32	Trial 22 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1000 total
185.96	Imposter at position 2
188.88	Pressed 2
188.88	Trial 23 incorrect OrderType 1 Shuffled false Imposter 2 0 points awarded, 1000 total
189.98	Imposter at position 0
193.00	Pressed 1
193.00	Trial 24 correct OrderType 1 Shuffled false Imposter 0 100 points awarded, 1100 total
195.55	Imposter at position 10
198.56	Pressed 2
198.56	Trial 25 incorrect OrderType 1 Shuffled false Imposter 10 0 points awarded, 1100 total
199.76	Imposter at position 6
202.81	Pressed 1
202.81	Trial 26 correct OrderType 1 Shuffled false Imposter 6 100 points awarded, 1200 total
203.63	No imposter
206.54	Pressed 1
206.54	Trial 27 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1200 total
207.35	Imposter at position 5
210.37	Pressed 2
210.37	Trial 28 incorrect OrderType 1 Shuffled false Imposter 5 0 points awarded, 1200 total
211.18	Imposter at position 3
214.23	Pressed 1
214.23	Trial 29 correct OrderType 1 Shuffled false Imposter 3 100 points awarded, 1300 total
214.94	No imposter
217.90	Pressed 1
217.90	Trial 30 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1300 total
218.64	Imposter at position 1
221.57	Pressed 1
221.57	Trial 31 correct OrderType 1 Shuffled false Imposter 1 100 points awarded, 1400 total
222.23	No imposter
225.23	Pressed 1
225.23	Trial 32 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1400 total
225.89	Imposter at position 4
229.03	Pressed 2
229.03	Trial 33 incorrect OrderType 1 Shuffled false Imposter 4 0 points awarded, 1400 total
237.61	Imposter at position 9
241.16	Pressed 1
241.16	Trial 34 correct OrderType 1 Shuffled false Imposter 9 100 points awarded, 1500 total
299.28	No imposter
302.38	Pressed 1
302.38	Trial 35 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1500 total
303.61	Imposter at position 7
306.82	Pressed 2
306.82	Trial 36 incorrect OrderType 1 Shuffled false Imposter 7 0 points awarded, 1500 total
308.59	Imposter at position 8
311.55	Pressed 1
311.55	Trial 37 correct OrderType 1 Shuffled false Imposter 8 100 points awarded, 1600 total
312.53	No imposter
315.54	Pressed 1
315.54	Trial 38 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1600 total
316.24	No imposter
319.32	Pressed 1
319.32	Trial 39 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1600 total
320.16	No imposter
323.14	Pressed 1
323.15	Trial 40 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1600 total
325.08	Imposter at position 11
328.32	Pressed 2
328.32	Trial 41 incorrect OrderType 1 Shuffled false Imposter 11 0 points awarded, 1600 total
334.45	No imposter
337.37	Pressed 2
337.37	Trial 42 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 1700 total
339.02	Imposter at position 5
341.89	Pressed 1
341.89	Trial 43 correct OrderType 1 Shuffled false Imposter 5 100 points awarded, 1800 total
342.86	Imposter at position 1
346.51	Pressed 2
346.51	Trial 44 incorrect OrderType 1 Shuffled false Imposter 1 0 points awarded, 1800 total
347.34	Imposter at position 2
350.27	Pressed 2
350.27	Trial 45 incorrect OrderType 1 Shuffled false Imposter 2 0 points awarded, 1800 total
351.34	No imposter
354.25	Pressed 2
354.25	Trial 46 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 1900 total
354.99	No imposter
358.06	Pressed 2
358.06	Trial 47 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 2000 total
362.73	Imposter at position 6
365.36	Pressed 1
365.36	Trial 48 correct OrderType 1 Shuffled false Imposter 6 200 points awarded, 2200 total
366.59	Imposter at position 9
370.31	Pressed 1
370.31	Trial 49 correct OrderType 1 Shuffled false Imposter 9 200 points awarded, 2400 total
371.38	Imposter at position 0
374.26	Pressed 2
374.26	Trial 50 incorrect OrderType 1 Shuffled false Imposter 0 0 points awarded, 2400 total
375.00	Imposter at position 11
378.12	Pressed 1
378.12	Trial 51 correct OrderType 1 Shuffled false Imposter 11 100 points awarded, 2500 total
378.98	Imposter at position 8
381.85	Pressed 1
381.85	Trial 52 correct OrderType 1 Shuffled false Imposter 8 100 points awarded, 2600 total
382.54	No imposter
385.50	Pressed 2
385.50	Trial 53 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 2800 total
386.20	No imposter
390.10	Pressed 2
390.10	Trial 54 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 3000 total
390.95	No imposter
394.00	Pressed 2
394.00	Trial 55 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 3350 total
394.61	Imposter at position 10
397.52	Pressed 1
397.52	Trial 56 correct OrderType 1 Shuffled false Imposter 10 350 points awarded, 3700 total
398.10	No imposter
401.06	Pressed 2
401.06	Trial 57 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 4100 total
401.97	Imposter at position 3
404.87	Pressed 2
404.87	Trial 58 incorrect OrderType 1 Shuffled false Imposter 3 0 points awarded, 4100 total
405.53	Imposter at position 4
408.44	Pressed 1
408.44	Trial 59 correct OrderType 1 Shuffled false Imposter 4 100 points awarded, 4200 total
409.07	No imposter
413.15	Pressed 2
413.15	Trial 60 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 4300 total
420.15	No imposter
423.57	Pressed 2
423.57	Trial 61 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 4500 total
425.57	No imposter
428.51	Pressed 2
428.51	Trial 62 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 4700 total
429.18	No imposter
432.02	Pressed 2
432.02	Trial 63 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 5050 total
432.65	No imposter
435.51	Pressed 2
435.51	Trial 64 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 5400 total
435.97	Imposter at position 7
438.87	Pressed 1
438.87	Trial 65 correct OrderType 1 Shuffled false Imposter 7 400 points awarded, 5800 total
440.15	No imposter
447.49	Pressed 2
447.49	Trial 66 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 6200 total
471.99	Imposter at position 1
475.22	Pressed 2
475.22	Trial 67 incorrect OrderType 1 Shuffled false Imposter 1 0 points awarded, 6200 total
476.12	Imposter at position 5
479.05	Pressed 2
479.05	Trial 68 incorrect OrderType 1 Shuffled false Imposter 5 0 points awarded, 6200 total
479.62	No imposter
482.51	Pressed 2
482.51	Trial 69 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 6300 total
483.02	No imposter
486.05	Pressed 2
486.05	Trial 70 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 6400 total
488.04	No imposter
490.90	Pressed 2
490.90	Trial 71 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 6600 total
491.39	Imposter at position 6
494.16	Pressed 1
494.16	Trial 72 correct OrderType 1 Shuffled false Imposter 6 200 points awarded, 6800 total
495.33	Imposter at position 3
498.20	Pressed 1
498.20	Trial 73 correct OrderType 1 Shuffled false Imposter 3 350 points awarded, 7150 total
498.82	No imposter
501.72	Pressed 2
501.72	Trial 74 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 7500 total
502.30	Imposter at position 8
505.15	Pressed 1
505.15	Trial 75 correct OrderType 1 Shuffled false Imposter 8 400 points awarded, 7900 total
505.61	Imposter at position 11
508.54	Pressed 1
508.54	Trial 76 correct OrderType 1 Shuffled false Imposter 11 400 points awarded, 8300 total
509.01	No imposter
511.98	Pressed 1
511.98	Trial 77 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 8300 total
512.70	No imposter
515.75	Pressed 2
515.75	Trial 78 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 8400 total
516.38	No imposter
519.36	Pressed 2
519.36	Trial 79 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 8500 total
519.97	No imposter
522.90	Pressed 2
522.90	Trial 80 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 8700 total
523.46	No imposter
526.46	Pressed 2
526.46	Trial 81 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 8900 total
526.95	Imposter at position 4
529.84	Pressed 1
