<root xmlns:Empirical="https://www.reberlab.org/">
<Empirical:config>{
"first_instructions": ["This is a learning and memory study.","Your goal is to memorize a repeating list of 12 random images.","","The correct list will be presented on the next screen.","The images will be presented fast, but don&#8217;t worry","because you will get a lot more practice with the list.","","Press any key when ready to start."],
"training_instructions": ["The list will now be presented for about 30 more minutes","","There will also be a fake image on half of the trials.","","You have to report after each list if you spot an imposter image:","Pressing 1 for yes or 2 for no.","","The order of the images may vary","","You might feel like you are guessing at first.","Keep trying. You will learn the correct list with practice.","","It is helpful to only focus on a few of the images at first.","This will help slowly build up confidence in the entire list.","","Press any key to begin"],
"correct_points": 100,
"streak_points": [[3,100],[4,100],[5,250],[6,250],[7,300],[8,300],[9,400],[10,500],[11,500],[12,500],[13,500],[14,500],[15,500],[16,500],[17,500],[18,500],[19,500],[20,500],[21,500],[22,500],[23,500],[24,500],[25,500],[26,500],[27,500],[28,500],[29,500],[30,500],[31,500],[32,500],[33,500],[34,500],[35,500],[36,500],[37,500],[38,500],[39,500],[40,500],[41,500],[42,500],[43,500],[44,500],[45,500],[46,500],[47,500],[48,500],[49,500],[50,500]],
"num_stim": 12,
"study_length": 300,
"training_trials": 100,
"test_trials": 80,
"shuffle_order": "abcdegfhijkl",
"foil_mode": "hard",
"foil_similarity": 75
}
</Empirical:config>
<Empirical:appInfo>Applet name: sequential_memory.html
Version: 45
</Empirical:appInfo>
<Empirical:time>2022-04-15 11:28:21.208891
</Empirical:time>
<Empirical:privatedata>WorkerId: A8028AFBBS29G
IP address: 2601:200:4003:31a0:f939:87c7:197b:c12e
</Empirical:privatedata>
<Empirical:datalog>73.16	Stimulus strings 12 generated
73.16	{"s":6,"p":[{"c":"#AA7983","d":[26.6,34.8,2.9,31.7]},{"c":"#F60C88","d":[4.4,58.3,58.4,26.9]},{"c":"#2F96B0","d":[27.2,56.5,59.9,8]}]}
73.16	{"s":6,"p":[{"c":"#DA0D6F","d":[31.2,40.2,10.8,42.8]},{"c":"#E8BC71","d":[52.8,4.2,58.7,31.6]},{"c":"#5505EC","d":[1.7,16.2,49.2,2.9]}]}
73.16	{"s":6,"p":[{"c":"#6E2FF8","d":[45.6,52.5,34.5,2.1]},{"c":"#8476B9","d":[5.6,48,39.3,40.1]},{"c":"#EC5CD1","d":[15.4,51.7,23.3,35.5]}]}
73.16	{"s":6,"p":[{"c":"#8AFDA5","d":[24.3,28.9,10,6.3]},{"c":"#42979A","d":[51.6,4.7,29.4,16.1]},{"c":"#1E1712","d":[39.1,57.9,0.3,44.2]}]}
73.16	{"s":6,"p":[{"c":"#24AE5E","d":[45.2,20.8,37.3,52]},{"c":"#E62C80","d":[12.5,17.7,20,53.8]},{"c":"#93879B","d":[47.6,56.5,2.6,46.8]}]}
73.16	{"s":6,"p":[{"c":"#F5E678","d":[9.9,51.9,42.8,55.6]},{"c":"#F6A733","d":[28.8,32.1,44,42.9]},{"c":"#39766F","d":[50.8,12.7,58.9,54.8]}]}
73.16	{"s":6,"p":[{"c":"#53402F","d":[39.5,40.2,30.7,55.8]},{"c":"#472F91","d":[15.6,58.8,50.1,46.4]},{"c":"#F91EAB","d":[27,40.2,24.8,2.7]}]}
73.16	{"s":6,"p":[{"c":"#DBA16D","d":[58.2,55.6,41.7,9]},{"c":"#5EF1EC","d":[31.7,14.2,9.3,20.9]},{"c":"#168046","d":[14.5,48.5,48.8,46.3]}]}
73.16	{"s":6,"p":[{"c":"#7E803B","d":[19.5,26.3,29.8,5.3]},{"c":"#9B01EC","d":[2.6,0.6,20,48.1]},{"c":"#8A95F5","d":[56.2,58.6,36.3,28]}]}
73.16	{"s":6,"p":[{"c":"#3FD6DE","d":[17.7,28.7,10.2,50.7]},{"c":"#8328C1","d":[31.2,47.9,58.2,40.6]},{"c":"#EB9C11","d":[24.7,20.7,16.5,56.3]}]}
73.16	{"s":6,"p":[{"c":"#7C8942","d":[24.6,39,31.5,34.8]},{"c":"#0B5453","d":[8,35.2,0.7,40.3]},{"c":"#C000CD","d":[42.9,18.7,49.9,4.9]}]}
73.16	{"s":6,"p":[{"c":"#94D868","d":[27.4,2.4,49.1,33.9]},{"c":"#4A17F4","d":[7.7,41.1,57.4,57.3]},{"c":"#17FED1","d":[55.2,49.7,32.6,36.9]}]}
73.16	Training order created, 50 imposter trials
73.16	Order 0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
73.16	Test order created, 40 imposter trials, 20 in sequence trials
73.16	Order 2,1,2,3,1,1,1,0,1,2,0,3,3,1,3,3,2,0,1,0,3,0,2,3,1,2,0,3,0,2,2,1,0,1,3,3,1,1,2,0,2,3,2,3,0,0,3,1,2,1,3,1,2,2,1,3,0,1,3,3,3,3,3,0,0,0,0,0,1,2,2,0,0,2,2,0,1,2,2,1
134.53	No imposter
141.37	Pressed 2
141.37	Trial 1 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 100 total
147.57	Imposter at position 4
154.53	Pressed 1
154.53	Trial 2 correct OrderType 1 Shuffled false Imposter 4 100 points awarded, 200 total
158.83	Imposter at position 2
165.61	Pressed 1
165.61	Trial 3 correct OrderType 1 Shuffled false Imposter 2 200 points awarded, 400 total
168.39	Imposter at position 0
175.17	Pressed 2
175.17	Trial 4 incorrect OrderType 1 Shuffled false Imposter 0 0 points awarded, 400 total
177.82	Imposter at position 3
184.92	Pressed 1
184.92	Trial 5 correct OrderType 1 Shuffled false Imposter 3 100 points awarded, 500 total
186.98	No imposter
195.23	Pressed 2
195.23	Trial 6 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 600 total
196.79	Imposter at position 1
203.53	Pressed 1
203.53	Trial 7 correct OrderType 1 Shuffled false Imposter 1 200 points awarded, 800 total
205.18	No imposter
211.90	Pressed 2
211.90	Trial 8 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 1000 total
213.34	No imposter
220.10	Pressed 2
220.10	Trial 9 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 1350 total
221.65	No imposter
228.32	Pressed 1
228.32	Trial 10 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1350 total
230.33	Imposter at position 11
237.69	Pressed 1
237.69	Trial 11 correct OrderType 1 Shuffled false Imposter 11 100 points awarded, 1450 total
238.88	Imposter at position 10
245.71	Pressed 1
245.71	Trial 12 correct OrderType 1 Shuffled false Imposter 10 100 points awarded, 1550 total
246.91	No imposter
253.54	Pressed 1
253.54	Trial 13 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 1550 total
255.08	Imposter at position 7
261.71	Pressed 2
261.71	Trial 14 incorrect OrderType 1 Shuffled false Imposter 7 0 points awarded, 1550 total
263.42	No imposter
270.04	Pressed 2
270.04	Trial 15 correct OrderType 0 Shuffled false Imposter -1 100 points awarded, 1650 total
271.42	Imposter at position 9
277.99	Pressed 1
277.99	Trial 16 correct OrderType 1 Shuffled false Imposter 9 100 points awarded, 1750 total
279.01	No imposter
286.12	Pressed 2
286.12	Trial 17 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 1950 total
287.37	No imposter
294.30	Pressed 2
294.30	Trial 18 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 2150 total
295.81	Imposter at position 6
302.52	Pressed 1
302.52	Trial 19 correct OrderType 1 Shuffled false Imposter 6 350 points awarded, 2500 total
303.99	No imposter
311.13	Pressed 2
311.13	Trial 20 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 2850 total
312.54	Imposter at position 5
319.73	Pressed 1
319.73	Trial 21 correct OrderType 1 Shuffled false Imposter 5 400 points awarded, 3250 total
321.86	No imposter
328.63	Pressed 2
328.63	Trial 22 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 3650 total
330.14	Imposter at position 8
336.74	Pressed 1
336.74	Trial 23 correct OrderType 1 Shuffled false Imposter 8 500 points awarded, 4150 total
338.22	No imposter
344.99	Pressed 2
344.99	Trial 24 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 4750 total
346.45	No imposter
353.07	Pressed 2
353.07	Trial 25 correct OrderType 0 Shuffled false Imposter -1 600 points awarded, 5350 total
354.47	No imposter
361.02	Pressed 1
361.02	Trial 26 incorrect OrderType 0 Shuffled false Imposter -1 0 points awarded, 5350 total
363.22	Imposter at position 2
369.73	Pressed 1
369.73	Trial 27 correct OrderType 1 Shuffled false Imposter 2 100 points awarded, 5450 total
370.97	Imposter at position 5
377.54	Pressed 1
377.54	Trial 28 correct OrderType 1 Shuffled false Imposter 5 100 points awarded, 5550 total
378.78	No imposter
385.33	Pressed 2
385.33	Trial 29 correct OrderType 0 Shuffled false Imposter -1 200 points awarded, 5750 total
386.46	Imposter at position 4
393.03	Pressed 1
393.03	Trial 30 correct OrderType 1 Shuffled false Imposter 4 200 points awarded, 5950 total
394.29	No imposter
400.77	Pressed 2
400.77	Trial 31 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 6300 total
401.88	No imposter
408.47	Pressed 2
408.47	Trial 32 correct OrderType 0 Shuffled false Imposter -1 350 points awarded, 6650 total
409.55	No imposter
416.06	Pressed 2
416.06	Trial 33 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 7050 total
417.15	No imposter
424.57	Pressed 2
424.57	Trial 34 correct OrderType 0 Shuffled false Imposter -1 400 points awarded, 7450 total
425.96	Imposter at position 0
432.36	Pressed 1
